Rep,Plot,Clone,First Rust Rating,Canker
3,667,04-FF-025,0,0
3,668,10X-239-020,25,0
3,669,07X-357-042,0,0
3,670,10X-400-029,45,1
3,671,05X-287-170,0,0
3,672,10X-239-027,0,0
3,673,01X-268-015 ,0,0
3,674,10X-239-030,0,0
3,675,10X-405-005,7,0
3,676,06X-330-055 ,0,0
3,677,9882-34,0,0
3,678,10X-405-027,0,0
3,679,10X-218-013,3,0
3,680,10X-400-080,38,1
3,681,10X-400-013,13,1
3,682,10X-405-014,11,1
3,683,10X-400-081,18,1
3,684,10X-400-032,9,1
3,685,10X-239-004,0,0
3,686,10X-239-009,2,0
3,687,10X-400-089,25,1
3,688,10X-239-036,22,0
3,689,10X-400-028,7,0
3,690,10X-400-086,10,1
3,691,Stina,0,0
3,692,10X-400-044,14,1
3,693,Klara,Dead ,0
3,694,07X-357-115,0,0
3,695,10X-405-032,0,1
3,696,07X-357-107,0,0
3,697,99202-011,0,0
3,698,07X-356-022,0,0
3,699,07X-356-011,0,0
3,700,06X-330-021 ,0,0
3,701,07X-357-114,0,0
3,702,10X-218-014,2,0
3,703,99239-015 ,0,0
3,704,10X-239-006,0,0
3,705,10X-405-029,9,0
3,706,05X-287-160,0,0
3,707,10X-400-059,50,1
3,708,10X-400-061,Dead ,0
3,709,10X-405-009,40,0
3,710,01-200-010,0,0
3,711,10X-400-014,Dead ,0
3,712,05X-287-139,0,0
3,713,10X-400-033,11,1
3,714,06X-330-034 ,0,0
3,715,10X-218-001,0,0
3,716,10X-405-006,0,0
3,717,10X-239-001,3,0
3,718,10X-405-017,0,0
3,719,06X-330-101 ,0,0
3,720,10X-405-022,Dead ,0
3,721,10X-400-076,18,0
3,722,10X-405-002,0,0
3,723,01X-265-019,0,0
3,724,07X-357-065,0,0
3,725,10X-400-030,7,0
3,726,05X-287-148,0,0
3,727,10X-400-049,6,0
3,728,01-200-003,0,0
3,729,02X-326-010,0,0
3,730,10X-400-024,0,1
3,731,05X-287-033,0,0
3,732,10X-218-015,0,0
3,733,05X-287-159,0,0
3,734,10X-239-032,0,0
3,735,10X-218-010,0,0
3,736,10X-400-056,9,1
3,737,07X-356-036,Dead ,0
3,738,10X-239-021,2,0
3,739,94006,4,1
3,740,10X-239-024,10,0
3,741,10X-239-037,13,0
3,742,10X-218-005,0,0
3,743,06X-330-057 ,0,0
3,744,9870-23 ,0,0
3,745,10X-239-002,9,0
3,746,05X-295-014,12,0
3,747,10X-400-034,20,1
3,748,10X-400-079,38,0
3,749,10X-239-016,9,0
3,750,10X-400-097,40,0
3,751,01-200-006,0,0
3,752,10X-239-022,10,0
3,753,10X-405-008,11,0
3,754,10X-400-042,20,1
3,755,10X-400-009,Dead ,0
3,756,10X-400-095,6,1
3,757,01X-271-009,0,0
3,758,06X-330-046 ,0,0
3,759,01-200-001,0,0
3,760,SX61,0,0
3,761,07X-357-058,0,0
3,762,10X-400-078,26,1
3,763,10X-400-063,36,1
3,764,India,0,0
3,765,10X-218-018,2,0
3,766,05X-281-068,0,0
3,767,10X-218-002,0,0
3,768,10X-405-003,10,0
3,769,10X-400-074,8,0
3,770,05X-287-154,0,0
3,771,07X-357-095,0,0
3,772,07X-357-098,0,0
3,773,10X-405-011,13,0
3,774,10X-239-011,7,0
3,775,10X-400-065,15,1
3,776,10X-400-020,23,0
3,777,10X-400-054,20,0
3,778,10X-239-018,7,0
3,779,10X-405-023,Dead ,0
3,780,10X-400-046,18,0
3,781,9970-036,4,0
3,782,10X-400-022,23,1
